class,data_1,data_2
1,0.200486311617927,0.513997137287955
1,0.13753711030805,0.474810269247572
1,0.708409680022716,0.0932622358202531
1,0.732100487154667,0.0417481519764565
1,0.742702294178796,0.0738199547396109
1,0.0732271741018004,0.513031576166756
1,0.584942275644303,0.135568916013184
1,0.0387438368813845,0.645430155588875
1,0.364517253897646,0.464612499569212
1,0.202499917845849,0.462302104517838
1,0.53900795571653,0.173453767651908
1,0.0308990353955372,0.662908561867395
1,0.280149744146706,0.488273735977974
1,0.425273464563279,0.21863575761234
1,0.149489735028416,0.525994471915043
1,0.430181174824697,0.301580516899381
1,0.36727769847683,0.227510637468407
1,0.457108105801745,0.30377874020518
1,0.564042710114142,0.0730596780165298
1,0.424525487163369,0.258042906389748
1,0.384780357434351,0.298408456500273
1,0.370387248645363,0.396779476199536
1,0.551228349282889,0.245180631650285
1,0.348338844316738,0.401757704442615
1,0.487513631995547,0.248913178144591
1,0.720394858648128,0.0103849268256724
1,0.261204776708946,0.465208109696821
1,0.113988191794219,0.605152657139163
1,0.433113040737829,0.272703967883825
1,0.215243827031421,0.487122317668468
1,0.00980274152947327,0.670271685843281
1,0.520452974002206,0.221030707155251
1,0.29750245607339,0.246968293482146
1,0.127709310481768,0.608575152858212
1,0.301625700305114,0.379040241226995
1,0.540244232147046,0.125428504050574
1,0.516184632985856,0.242610840405062
1,0.113748856548749,0.669252394142359
1,0.365055206367348,0.28782579266299
1,0.145618786188386,0.590044172739055
1,0.626564956421623,0.0862578273268859
1,0.359303456291613,0.284218007989269
1,0.00780651820245914,0.594621535537326
1,0.64134206889399,0.091238558502214
1,0.263384880395223,0.363810749152305
1,0.000695956831115696,0.697602184256468
1,0.262533056619062,0.364050279783744
1,0.270916791146653,0.480122068218648
1,0.345626202856017,0.374143659529548
1,0.33265185926096,0.438274933734416
1,0.235565871458313,0.399962057199331
1,0.385264593578965,0.246902122489556
1,0.635139571348062,0.0887064623057548
1,0.3626248436392,0.370945258397949
1,0.530495937721792,0.101408981586613
1,0.300537040833501,0.434189864337738
1,0.59064113123146,0.169499844996611
1,0.396722953435304,0.368052623930266
1,0.472934610770107,0.283428610356339
1,0.170518631930404,0.661752997699051
1,0.0714965819000684,0.609099417621187
1,0.25735686000925,0.484239781223359
1,0.689161999659161,0.104957664372525
1,0.341275598691045,0.299291256716804
1,0.56380788366915,0.113973359344543
1,0.0792305456533432,0.715475559283816
1,0.228270072344534,0.492752033802299
1,0.192750672230264,0.372153727721085
1,0.086695750737768,0.620602658904051
1,0.748959401195227,0.179830071932204
1,0.422062921686554,0.228206915721941
1,0.470817044084847,0.164098601513913
1,0.144703411108979,0.570072799767329
1,0.670323255217055,0.0724446141469062
1,0.19712681720525,0.522292064895672
1,0.624109068463682,0.218567938978479
1,0.361836826109859,0.255377627276449
1,0.266182856693357,0.513137703487192
1,0.314368595984577,0.446021775439855
1,0.156236909597959,0.579664056080235
1,0.576339596915582,0.109557711799448
1,0.84693526616308,0.0228859071510853
1,0.105298058199332,0.464425703516734
1,0.387114891369908,0.388650183015571
1,0.259944355700654,0.443013364813959
1,0.505974225243055,0.269444165900412
1,0.20505923496546,0.445301122605138
1,0.696204543501295,0.0661403782975862
1,0.0777361285829559,0.515739888586845
1,0.378579347219581,0.236248181482685
1,0.221675369452556,0.407719830411765
1,0.48442626860596,0.334077112529258
1,0.349876636564474,0.363705639653602
1,0.691287617870472,0.0780557783517262
1,0.110771759168203,0.61739438082628
1,0.610279231304482,0.0691481700129723
1,0.00289772940698294,0.640613032530097
1,0.0238177583413831,0.748001080745906
1,0.615898696828934,0.0287792790691199
1,0.364089872753003,0.341612214787224
1,0.308419092550771,0.34465824043477
1,0.284007647249082,0.354687242052347
1,0.025884834749633,0.700030100626933
1,0.701396735499128,0.0170519790327748
1,0.464697148622687,0.24169835523207
1,0.0864812401731506,0.652080578465956
1,0.717385568906476,0.0123660856157516
1,0.204754766423575,0.542033935530763
1,0.511612237244689,0.163974788539349
1,0.467830505273239,0.355810140366175
1,0.298122879131843,0.437825204080332
1,0.444276313464272,0.387515622224428
1,0.253273141965384,0.490224441155564
1,0.12226209607747,0.620448277061095
1,0.529400102674806,0.232844735928934
1,0.0320160844990468,0.654412975475482
1,0.204543985574711,0.523616144758756
1,0.661609626648403,0.0466463430223034
1,0.372430255231214,0.315473446606686
1,0.638779582136149,0.0294858327626683
1,0.184812205391713,0.509221976870241
1,0.656288611834129,0.149828372447731
1,0.526908942285075,0.079336372715372
1,0.380649918520407,0.287921199099558
1,0.422457813735188,0.211696318796545
1,0.675885378973721,0.030920558871877
1,0.492280081873777,0.180490637865934
1,0.536114151256229,0.124745692213008
1,0.0250057011288626,0.623058444642165
1,0.180234261518609,0.46519820399557
1,0.00651881633566891,0.752045955592052
1,0.651479293903701,0.0442066914913234
1,0.238499796020689,0.455356527589194
1,0.31328768788194,0.490003916912054
1,0.00284885066213899,0.558268842701099
1,0.087914117618793,0.615911086116204
1,0.221532497095698,0.481131037873166
1,0.637995532677273,0.0531967088486615
1,0.29878454065146,0.518938479352857
1,0.0979343196878256,0.511412644874681
1,0.434864996438325,0.191489624675061
1,0.0230458117612498,0.669504134023562
1,0.590505659898994,0.087449581886142
1,0.389656159131255,0.156999271840628
1,0.536036354200611,0.142848070176424
1,0.273371041658484,0.43060843970927
1,0.215832431745521,0.532565732561272
1,0.0697787298988558,0.554865559593378
1,0.66010792331557,0.160971488700392
1,0.0784315320242157,0.431147896786261
1,0.395787134999644,0.298599805516474
1,0.288806998929313,0.313325196802762
1,0.541339069815564,0.111686631443693
1,0.653363469928848,0.0238602135477491
1,0.636333390102885,0.11309740795895
1,0.065496955268614,0.551967744618491
1,0.554162951939727,0.0833933487690347
1,0.214499501466119,0.385704768041615
1,0.0278255115373597,0.677752344546824
1,0.0856713949185412,0.746977011387515
1,0.526992489988055,0.122541266490342
1,0.255870156163169,0.3913367319513
1,0.160325273572153,0.549316680304807
1,0.273606572432042,0.569810154893826
1,0.348147554980918,0.487465706092823
1,0.641516674621446,0.0877916874218515
1,0.528073532947079,0.134420733168529
1,0.0334394695935918,0.6184634505092
1,0.176669512818344,0.574785026178337
1,0.465473818879493,0.344980343232881
1,0.0364675299830223,0.674431014454269
1,0.458124701200033,0.290234643715205
